Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
12/31/2014,112.82,113.129997,110.209999,110.379997,100.905785,41403400
1/2/2015,111.389999,111.440002,107.349998,109.330002,99.945885,53204600
1/5/2015,108.290001,108.650002,105.410004,106.25,97.130241,64285500
1/6/2015,106.540001,107.43,104.629997,106.260002,97.13942,65797100
1/7/2015,107.199997,108.199997,106.699997,107.75,98.501518,40105900
1/8/2015,109.230003,112.150002,108.699997,111.889999,102.286186,59364500
1/9/2015,112.669998,113.25,110.209999,112.010002,102.395844,53699500
1/12/2015,112.599998,112.629997,108.800003,109.25,99.872757,49650800
1/13/2015,111.43,112.800003,108.910004,110.220001,100.759514,67091900
1/14/2015,109.040001,110.489998,108.5,109.800003,100.375572,48956600
1/15/2015,110,110.059998,106.660004,106.82,97.651314,60014000
1/16/2015,107.029999,107.580002,105.199997,105.989998,96.892563,78513300
1/20/2015,107.839996,108.970001,106.5,108.720001,99.38829,49899900
1/21/2015,108.949997,111.059998,108.269997,109.550003,100.147011,48575900
1/22/2015,110.260002,112.470001,109.720001,112.400002,102.752403,53796400
1/23/2015,112.300003,113.75,111.529999,112.980003,103.282608,46464800
1/26/2015,113.739998,114.360001,112.800003,113.099998,103.392311,55615000
1/27/2015,112.419998,112.480003,109.029999,109.139999,99.772209,95568700
1/28/2015,117.629997,118.120003,115.309998,115.309998,105.412628,146477100
1/29/2015,116.32,119.190002,115.559998,118.900002,108.694481,84436400
1/30/2015,118.400002,120,116.849998,117.160004,107.103836,83745500
2/2/2015,118.050003,119.169998,116.080002,118.629997,108.447662,62739100
2/3/2015,118.5,119.089996,117.610001,118.650002,108.465935,51915700
2/4/2015,118.5,120.510002,118.309998,119.559998,109.297836,70149700
2/5/2015,120.019997,120.230003,119.25,119.940002,110.077942,42246200
2/6/2015,120.019997,120.25,118.449997,118.93,109.150978,43706600
2/9/2015,118.550003,119.839996,118.43,119.720001,109.876022,38889800
2/10/2015,120.169998,122.150002,120.160004,122.019997,111.9869,62008500
2/11/2015,122.769997,124.919998,122.5,124.879997,114.611763,73561800
2/12/2015,126.059998,127.480003,125.57,126.459999,116.061844,74474500
2/13/2015,127.279999,127.279999,125.650002,127.080002,116.630859,54272200
2/17/2015,127.489998,128.880005,126.919998,127.830002,117.319191,63152400
2/18/2015,127.629997,128.779999,127.449997,128.720001,118.136032,44891700
2/19/2015,128.479996,129.029999,128.330002,128.449997,117.888214,37362400
2/20/2015,128.619995,129.5,128.050003,129.5,118.851883,48948400
2/23/2015,130.020004,133,129.660004,133,122.064079,70974100
2/24/2015,132.940002,133.600006,131.169998,132.169998,121.302315,69228100
2/25/2015,131.559998,131.600006,128.149994,128.789993,118.200256,74711700
2/26/2015,128.789993,130.869995,126.610001,130.419998,119.696228,91287500
2/27/2015,130,130.570007,128.240005,128.460007,117.8974,62014800
3/2/2015,129.25,130.279999,128.300003,129.089996,118.475578,48096700
3/3/2015,128.960007,129.520004,128.089996,129.360001,118.723381,37816300
3/4/2015,129.100006,129.559998,128.320007,128.539993,117.970802,31666300
3/5/2015,128.580002,128.75,125.760002,126.410004,116.015945,56517100
3/6/2015,128.399994,129.369995,126.260002,126.599998,116.190331,72842100
3/9/2015,127.959999,129.570007,125.059998,127.139999,116.685921,88528500
3/10/2015,126.410004,127.220001,123.800003,124.510002,114.272171,68856600
3/11/2015,124.75,124.769997,122.110001,122.239998,112.188843,68939000
3/12/2015,122.309998,124.900002,121.629997,124.449997,114.21711,48362700
3/13/2015,124.400002,125.400002,122.580002,123.589996,113.427818,51827300
3/16/2015,123.879997,124.949997,122.870003,124.949997,114.676003,35874300
3/17/2015,125.900002,127.32,125.650002,127.040001,116.594139,51023100
3/18/2015,127,129.160004,126.370003,128.470001,117.906548,65270900
3/19/2015,128.75,129.25,127.400002,127.5,117.016342,45809500
3/20/2015,128.25,128.399994,125.160004,125.900002,115.547905,68695100
3/23/2015,127.120003,127.849998,126.519997,127.209999,116.750168,37709700
3/24/2015,127.230003,128.039993,126.559998,126.690002,116.272911,32842300
3/25/2015,126.540001,126.82,123.379997,123.379997,113.2351,51655200
3/26/2015,122.760002,124.879997,122.599998,124.239998,114.024368,47572900
3/27/2015,124.57,124.699997,122.910004,123.25,113.115784,39546200
3/30/2015,124.050003,126.400002,124,126.370003,115.97924,47099700
3/31/2015,126.089996,126.489998,124.360001,124.43,114.198746,42090600
4/1/2015,124.82,125.120003,123.099998,124.25,114.033562,40621400
4/2/2015,125.029999,125.559998,124.190002,125.32,115.015564,32220100
4/6/2015,124.470001,127.510002,124.330002,127.349998,116.878647,37194000
4/7/2015,127.639999,128.119995,125.980003,126.010002,115.648849,35012300
4/8/2015,125.849998,126.400002,124.970001,125.599998,115.272545,37329200
4/9/2015,125.849998,126.580002,124.660004,126.559998,116.153618,32484000
4/10/2015,125.949997,127.209999,125.260002,127.099998,116.649216,40188000
4/13/2015,128.369995,128.570007,126.610001,126.849998,116.419769,36365100
4/14/2015,127,127.290001,125.910004,126.300003,115.914986,25524600
4/15/2015,126.410004,127.129997,126.010002,126.779999,116.355522,28970400
